,Country,Coffee Consumption (Bags) 
1,United States of America,"26,651,000"
2,Brazil,"22,000,000"
3,Germany,"8,670,000"
4,Japan,"7,355,000"
5,France,"6,192,000"
6,Italy,"5,469,000"
7,Indonesia,"4,806,000"
8,Russia,"4,631,000"
9,Canada,"3,929,000"
10,Ethiopia,"3,781,000"
11,Spain,"3,253,000"
12,Philippines,"3,250,000"
13,Vietnam,"2,650,000"
14,Poland,"2,501,000"
15,South Korea,"2,471,000"
16,Mexico,"2,425,000"
17,Algeria,"2,110,000"
18,Netherlands,"2,030,000"
19,Colombia,"2,025,000"
20,Australia,"1,939,000"
21,Sweden,"1,769,000"
22,Turkey,"1,711,000"
23,India,"1,450,000"
24,Thailand,"1,400,000"
25,Ukraine,"1,379,000"
26,Finland,"1,348,000"
27,Venezuela,"1,275,000"
28,Egypt,"1,242,000"
29,Saudi Arabia,"1,241,000"
30,Belgium,"1,185,000"
31,Austria,"1,173,000"
32,Greece,"1,139,000"
33,Romania,"1,108,000"
34,Switzerland,"1,060,000"
35,Portugal,"931,000"
36,Norway,"906,000"
37,Czech Republic,"843,000"
38,Denmark,"778,000"
39,Morocco,"753,000"
40,Sudan,"713,000"
41,Taiwan,"707,000"
42,South Africa,"653,000"
43,Argentina,"621,000"
44,Lebanon,"552,000"
45,Bulgaria,"423,000"
46,Hungary,"418,000"
47,Guatemala,"393,000"
48,Croatia,"381,000"
49,Dominican Republic,"377,000"
50,Madagascar,"375,000"
51,Ireland,"370,000"
52,Costa Rica,"352,000"
53,Honduras,"350,000"
54,Haiti,"345,000"
55,Ivory Coast,"317,000"
56,El Salvador,"292,000"
57,Uganda,"254,000"
58,Lithuania,"251,000"
59,Peru,"250,000"
60,Slovakia,"227,000"
61,Luxembourg,"224,000"
62,Slovenia,"204,000"
63,Estonia,"123,000"
64,Cyprus,"115,000"
65,Latvia,"114,000"
66,Malta,"23,000"
